input,elevation
"41.692705, -71.129726",71
"41.683936, -71.177500",58
"41.720043, -71.188272",10
"41.759700, -71.144592",29
"41.704138, -70.752225",0
"41.665794, -70.814531",16
"41.637485, -70.938265",30
"41.718217, -70.901151",15
"41.606252, -70.913632",4
"41.700737, -70.950546",28
"41.660995, -70.940137",38
"41.664711, -71.015699",28
"41.553084, -70.971453",5
"41.972509, -71.334397",59
"42.012800, -71.336602",94
"41.966866, -71.308574",51
"41.851929, -71.153598",29
"41.965341, -71.181780",26
"41.940996, -71.048499",24
"41.846878, -71.244870",20
"41.759846, -70.838449",20
"41.842106, -71.322309",24
"41.758163, -71.214181",16
"41.838061, -71.077615",29
"41.909112, -71.118346",21
"41.599176, -71.082371",34
"41.528538, -71.078091",33
"41.952130, -71.456233",48
"41.434772, -71.769527",50
"41.734753, -71.319732",5
"41.176815, -71.577085",7
"41.408251, -71.749674",15
"41.675730, -71.273331",19
"41.478948, -71.652334",82
"41.394216, -71.669822",29
"41.895948, -71.700406",167
"41.774630, -71.647954",141
"41.696499, -71.622662",94
"41.637083, -71.678361",154
"41.642919, -71.485719",58
"41.570210, -71.626993",160
"41.782067, -71.726833",160
"41.982746, -71.653144",132
"41.698748, -71.739118",154
"41.879928, -71.563999",106
"41.974930, -71.651187",136
"41.774762, -71.620289",90
"41.514717, -71.729622",82
"41.492067, -71.769901",86
"41.510088, -71.378366",22
"41.454681, -71.620208",63
"41.518769, -71.167247",30
"41.965257, -71.476374",80
"41.940757, -71.641513",138
"41.478216, -71.322375",0
"41.511864, -71.332175",0
"41.518673, -71.281685",57
"41.588565, -71.459811",27
"41.822761, -71.633605",149
"41.964461, -71.651336",122
"41.959073, -71.757323",196
"41.870562, -71.388681",33
"41.878603, -71.353131",30
"41.890064, -71.393481",34
"41.966913, -71.428933",93
"41.915455, -71.449815",66
"41.587299, -71.261246",78
"41.597055, -71.320666",34
"41.533083, -71.780518",124
"41.508687, -71.481743",55
"41.456486, -71.638865",85
"41.994278, -71.585490",72
"41.609436, -71.178113",47
"41.424019, -71.534277",43
"41.478083, -71.524717",85
"41.415152, -71.465251",35
"41.725138, -71.258805",8
"41.703849, -71.455568",10
"41.747671, -71.406118",22
"41.700591, -71.376927",24
"41.361854, -71.789689",17
"41.492004, -71.594774",72
"41.679006, -71.518688",95
"41.444477, -71.703238",32
"42.001706, -71.499949",46
"41.975186, -71.544069",111
"41.517640, -71.668521",64
"41.818230, -71.409088",11
"41.858334, -71.436294",30
"41.784725, -71.396103",20
"41.840169, -71.390408",36
"41.798593, -71.424630",27
"41.839825, -71.436794",47
"41.821417, -71.453215",17
"41.774999, -71.435594",20
"41.854888, -71.472812",45
"41.825593, -71.402239",39
"41.814838, -71.365333",23
"41.772847, -71.354839",14
"41.842661, -71.352438",23
"41.905774, -71.523305",62
"41.827440, -71.519879",84
"41.767344, -71.465508",60
"41.768455, -71.515778",116
"42.874864, -71.600503",101
"42.997261, -71.363424",77
"42.749263, -71.675670",91
"43.056870, -71.340559",160
"42.984530, -71.255104",160
"43.141274, -71.248197",173
"42.892761, -71.276763",144
"43.054187, -71.084193",71
"42.997000, -71.817788",285
"43.000370, -71.119161",71
"43.021515, -71.563462",125
"43.116338, -71.595355",188
"42.938740, -71.879424",272
"42.742874, -71.761755",219
"42.749626, -71.585401",126
"42.760508, -71.409494",95
"42.846081, -71.468283",60
"42.869839, -71.387845",110
"42.852034, -71.519876",71
"42.818645, -71.673354",102
"42.908885, -71.694199",228
"42.741087, -71.458266",77
"42.722323, -71.501176",80
"42.782084, -71.518043",59
"42.779378, -71.474918",60
"42.981209, -71.677520",155
"42.746257, -71.874434",362
"42.730992, -71.337073",64
"43.038038, -71.205107",83
"42.788264, -71.221726",44
"42.896409, -71.768341",242
"42.826913, -71.875292",487
"42.832235, -71.759609",214
"42.811092, -71.302688",108
"42.989027, -71.466111",64
"43.011907, -71.491063",84
"42.950538, -71.446547",74
"43.009552, -71.439782",139
"43.082584, -71.446878",152
"42.963734, -71.400350",77
"42.935584, -71.536871",112
"43.942653, -71.447732",935
"43.451175, -71.797940",187
"43.726075, -71.642508",329
"43.338034, -71.277262",151
"43.474458, -71.482210",240
"43.258003, -71.960169",273
"43.642709, -71.789139",267
"43.855414, -71.685470",244
"43.362490, -71.558020",298
"43.363816, -71.241730",207
"43.711764, -71.504236",200
"43.841192, -71.480852",690
"43.202187, -71.696803",142
"43.508647, -71.890241",379
"43.473341, -71.762339",320
"43.424011, -71.931200",263
"43.204812, -71.348563",251
"43.449136, -71.674267",175
"43.423058, -71.387218",308
"43.984428, -71.911271",533
"43.574714, -71.952004",345
"43.751504, -71.817394",439
"43.169407, -71.831201",228
"43.528306, -71.769192",400
